name,categories,address,lat,lng,price,likes,photos,tips,rating,ratingSignals
فوال الطائف,Breakfast Spot,"طريق عرفات, الشفا, المملكة العربية السعودية",24.544259888535,46.7174853744685,cheap,24,36,1,7.3,34
مطعم صاج الضيعة,Restaurant,"الرياض, المملكة العربية السعودية",24.546128,46.719085,moderate,2,0,0,7.5360181223257,
فطائر روائع السنبلة,Bakery,"حي الشفا, الرياض, المملكة العربية السعودية",24.5465507746176,46.7187099449486,cheap,5,0,1,7.5360181223257,
فلافل فيحاء دمشق,Falafel Restaurant,"حي بدر (طريق عرفات), الرياض, المملكة العربية السعودية",24.546344,46.719164,cheap,0,0,0,7.5360181223257,
The Lab By Gastronomy,Food Truck,"Othman bin Affan Road (King Abdullah Road), الرياض, المملكة العربية السعودية",24.5476403333034,46.7181600444148,cheap,2,3,0,7.5360181223257,
Fun Juice,Juice Bar,"الرياض 14716, المملكة العربية السعودية",24.545051,46.717703,cheap,0,1,0,7.5360181223257,
شاورما الزاوية,Arepa Restaurant,المملكة العربية السعودية,24.5447411436762,46.7210486414508,cheap,0,0,0,7.5360181223257,
"مطعم كنتاكي , KFC",Fast Food Restaurant,"الرياض 14716, المملكة العربية السعودية",24.549766,46.7213,cheap,5,10,0,7.5360181223257,
Snack (تسالي),Burger Joint,المملكة العربية السعودية,24.5470267457478,46.7236589058481,cheap,1,0,0,7.5360181223257,
فوال لواء الشمال,Afghan Restaurant,المملكة العربية السعودية,24.54984,46.722428,moderate,1,2,1,7.5360181223257,
Pizza Hut,Pizza Place,"Arafat Rd, Telal Al Shifaa, الرياض, المملكة العربية السعودية",24.550003,46.722346,cheap,0,0,0,7.5360181223257,
ورق التوت,Middle Eastern Restaurant,"الرياض, المملكة العربية السعودية",24.5523521999236,46.6996507397098,moderate,65,20,11,8.2,77
فرن الضيعة,Bakery,"الرياض 14716, المملكة العربية السعودية",24.555703,46.702617,cheap,17,9,5,8.6,18
مطعم جنيه,Fried Chicken Joint,المملكة العربية السعودية,24.5536692506889,46.7009923773336,cheap,6,14,0,7.5360181223257,
مضغوط حاشي باشا,Middle Eastern Restaurant,"Ibn Taymyah St., الرياض 14724, المملكة العربية السعودية",24.552443,46.699943,moderate,4,2,1,7.5360181223257,
بيتزا وفطائر على الطائر,Pizza Place,المملكة العربية السعودية,24.5525349856381,46.7000912138288,cheap,2,3,0,7.5360181223257,
الركن الشعبي للمطبق والمعصوب,Middle Eastern Restaurant,"حي بدر (ط ابن تيمية), الرياض, المملكة العربية السعودية",24.554389,46.701557,moderate,0,1,0,7.5360181223257,
بوظة شامية,Dessert Shop,المملكة العربية السعودية,24.5566005371841,46.7034411705755,cheap,0,0,1,7.5360181223257,
بيت المانجة,Juice Bar,"حي بدر (ط ابن تيمية), الرياض, المملكة العربية السعودية",24.5545347527617,46.7015255340615,cheap,6,4,0,7.5360181223257,
